% r                      z
0.001220644              2.23737E-14              
0.0012242447             2.2585922E-14            
0.0012278456             2.2797832E-14            
0.0012314463             2.300942E-14             
0.001235047              2.3220695E-14            
0.0012386477             2.3431666E-14            
0.0012422485             2.3642336E-14            
0.0012458492             2.3852714E-14            
0.0012494499             2.4062807E-14            
0.0012530506             2.4272624E-14            
0.0012566512             2.4482166E-14            
0.001260252              2.469146E-14             
0.0012638527             2.4900505E-14            
0.0012674534             2.510932E-14             
0.0012710541             2.5317913E-14            
0.0012746549             2.5526298E-14            
0.0012782556             2.5734492E-14            
0.0012818563             2.5942508E-14            
0.001285457              2.6150363E-14            
0.0012890578             2.6358073E-14            
0.0012926585             2.6565657E-14            
0.0012962592             2.6773133E-14            
0.0012998598             2.6980513E-14            
0.0013034606             2.7187831E-14            
0.0013070613             2.7395102E-14            
0.001310662              2.7602347E-14            
0.0013142627             2.7809591E-14            
0.0013178635             2.8016855E-14            
0.0013214642             2.8224163E-14            
0.0013250649             2.8431542E-14            
0.0013286658             2.8639024E-14            
0.0013322665             2.8846622E-14            
0.0013358672             2.9054372E-14            
0.0013394679             2.92623E-14              
0.0013430686             2.947043E-14             
0.0013466693             2.9678808E-14            
0.00135027               2.9887453E-14            
0.0013538707             3.0096402E-14            
0.0013574715             3.0305683E-14            
0.0013610722             3.051533E-14             
0.0013646729             3.0725385E-14            
0.0013682736             3.0935873E-14            
0.0013718744             3.1146835E-14            
0.0013754751             3.1358305E-14            
0.0013790758             3.1570327E-14            
0.0013826765             3.1782933E-14            
0.0013862771             3.1996155E-14            
0.0013898779             3.221005E-14             
0.0013934786             3.242465E-14             
0.0013970793             3.264E-14                
0.00140068               3.2856144E-14            
0.0014042808             3.3073116E-14            
0.0014078815             3.329097E-14             
0.0014114822             3.3509745E-14            
0.001415083              3.372949E-14             
0.0014186837             3.395025E-14             
0.0014222844             3.4172074E-14            
0.001425885              3.4395003E-14            
0.0014294857             3.46191E-14              
0.0014330865             3.4844408E-14            
0.0014366872             3.5070976E-14            
0.0014402879             3.5298858E-14            
0.0014438888             3.5528113E-14            
0.0014474895             3.575878E-14             
0.0014510902             3.599092E-14             
0.0014546909             3.622459E-14             
0.0014582917             3.6459845E-14            
0.0014618924             3.669674E-14             
0.0014654931             3.6935332E-14            
0.0014690937             3.7175673E-14            
0.0014726945             3.741784E-14             
0.0014762952             3.766188E-14             
0.0014798959             3.7907855E-14            
0.0014834966             3.8155832E-14            
0.0014870974             3.8405866E-14            
0.0014906981             3.8658025E-14            
0.0014942988             3.8912372E-14            
0.0014978995             3.9168972E-14            
0.0015015003             3.942789E-14             
0.001505101              3.9689192E-14            
0.0015087017             3.995295E-14             
0.0015123023             4.0219215E-14            
0.001515903              4.048808E-14             
0.0015195038             4.0759605E-14            
0.0015231045             4.103386E-14             
0.0015267052             4.131092E-14             
0.001530306              4.159085E-14             
0.0015339067             4.1873728E-14            
0.0015375074             4.215963E-14             
0.0015411082             4.2448636E-14            
0.001544709              4.27408E-14              
0.0015483097             4.303622E-14             
0.0015519104             4.333496E-14             
0.001555511              4.3637098E-14            
0.0015591118             4.3942728E-14            
0.0015627125             4.425192E-14             
0.0015663132             4.456475E-14             
0.0015699139             4.488131E-14             
0.0015735147             4.520168E-14             
0.0015771154             4.5525934E-14            
0.0015807161             4.5854166E-14            
0.0015843168             4.6186454E-14            
0.0015879176             4.6522888E-14            
0.0015915183             4.686355E-14             
0.001595119              4.7208534E-14            
0.0015987196             4.755791E-14             
